"area";"parameter";"sample";"levels";"cond.mad";"decile"
"CN";"c";"stratified";"1";0,0173490248331771;0,5992593695
"CN";"c";"stratified";"2";0,0467998727422669;0,772620984080001
"CN";"c";"stratified";"3";0,0241661507198754;0,96851704114
"CN";"c";"stratified";"4";0,0340839063237087;1,2536845068
"CN";"c";"stratified";"5";0,0134557917882784;1,4130735003
"CN";"c";"stratified";"6";0,0316579844560307;1,71088576956
"CN";"c";"stratified";"7";0,0195380179321306;1,8841659507
"CN";"c";"stratified";"8";0,0289769460181873;2,02631593736
"CN";"c";"stratified";"9";0,0213988587648827;2,3468096817
"CN";"c";"stratified";"10";0,0498355550993743;4,309598755
"CN";"c";"uniform";"1";0,049921452117877;0,5992593695
"CN";"c";"uniform";"2";0,0679707800450186;0,772620984080001
"CN";"c";"uniform";"3";0,0558974584381489;0,96851704114
"CN";"c";"uniform";"4";0,0480441330093044;1,2536845068
"CN";"c";"uniform";"5";0,0386840578459657;1,4130735003
"CN";"c";"uniform";"6";0,0619551402588722;1,71088576956
"CN";"c";"uniform";"7";0,0359834798519568;1,8841659507
"CN";"c";"uniform";"8";0,0589284727968805;2,02631593736
"CN";"c";"uniform";"9";0,0420470423976366;2,3468096817
"CN";"c";"uniform";"10";0,0587750285188181;4,309598755
"LC";"a";"random";"1";0,101115034195056;0,00990009218
"LC";"a";"random";"2";0,236684201496403;0,28907434072
"LC";"a";"random";"3";0,206575777310972;0,58335360776
"LC";"a";"random";"4";0,346845494681754;0,85893183508
"LC";"a";"random";"5";0,252009675709485;1,142411149
"LC";"a";"random";"6";0,479562455497758;1,3468774352
"LC";"a";"random";"7";0,877673014156334;1,67556047604
"LC";"a";"random";"8";0,799967770289331;1,9059198444
"LC";"a";"random";"9";0,497779172787592;2,08434497062
"LC";"a";"random";"10";0,767221965576594;5,8919369696
"LC";"a";"stratified";"1";0,18083972111227;0,00990009218
"LC";"a";"stratified";"2";0,117272781476802;0,28907434072
"LC";"a";"stratified";"3";0,10957924598281;0,58335360776
"LC";"a";"stratified";"4";0,13915200828506;0,85893183508
"LC";"a";"stratified";"5";0,108498499576536;1,142411149
"LC";"a";"stratified";"6";0,228035644736715;1,3468774352
"LC";"a";"stratified";"7";0,63367404210223;1,67556047604
"LC";"a";"stratified";"8";0,608168597681814;1,9059198444
"LC";"a";"stratified";"9";0,351562944412063;2,08434497062
"LC";"a";"stratified";"10";0,698061851129471;5,8919369696
"LC";"a";"uniform";"1";0,757246072441761;0,00990009218
"LC";"a";"uniform";"2";0,466284853638949;0,28907434072
"LC";"a";"uniform";"3";0,401194220117269;0,58335360776
"LC";"a";"uniform";"4";0,295784495366385;0,85893183508
"LC";"a";"uniform";"5";0,236099568367668;1,142411149
"LC";"a";"uniform";"6";0,215870197887568;1,3468774352
"LC";"a";"uniform";"7";0,386682501867105;1,67556047604
"LC";"a";"uniform";"8";0,400981219492678;1,9059198444
"LC";"a";"uniform";"9";0,137150367793779;2,08434497062
"LC";"a";"uniform";"10";0,509381613672657;5,8919369696
"LC";"b";"random";"1";0,125602154738043;0,00990009218
"LC";"b";"random";"2";0,126739689983426;0,28907434072
"LC";"b";"random";"3";0,0642092069500448;0,58335360776
"LC";"b";"random";"4";0,0826249370968397;0,85893183508
"LC";"b";"random";"5";0,108052660706087;1,142411149
"LC";"b";"random";"6";0,19956887622701;1,3468774352
"LC";"b";"random";"7";0,27267176063276;1,67556047604
"LC";"b";"random";"8";0,547125919192822;1,9059198444
"LC";"b";"random";"9";0,470719158445517;2,08434497062
"LC";"b";"random";"10";1,2667217452012;5,8919369696
"LC";"b";"stratified";"1";0,129932884008549;0,00990009218
"LC";"b";"stratified";"2";0,109491040121205;0,28907434072
"LC";"b";"stratified";"3";0,0603035724155383;0,58335360776
"LC";"b";"stratified";"4";0,0643953414037789;0,85893183508
"LC";"b";"stratified";"5";0,119363987801303;1,142411149
"LC";"b";"stratified";"6";0,057726503944652;1,3468774352
"LC";"b";"stratified";"7";0,104968681112921;1,67556047604
"LC";"b";"stratified";"8";0,171836225173285;1,9059198444
"LC";"b";"stratified";"9";0,0973180187460071;2,08434497062
"LC";"b";"stratified";"10";0,760322178436697;5,8919369696
"LC";"b";"uniform";"1";0,244611149507817;0,00990009218
"LC";"b";"uniform";"2";0,0896307729929635;0,28907434072
"LC";"b";"uniform";"3";0,0677118901464621;0,58335360776
"LC";"b";"uniform";"4";0,129866142717441;0,85893183508
"LC";"b";"uniform";"5";0,260771038609181;1,142411149
"LC";"b";"uniform";"6";0,241952287086056;1,3468774352
"LC";"b";"uniform";"7";0,368363124778008;1,67556047604
"LC";"b";"uniform";"8";0,426104183127175;1,9059198444
"LC";"b";"uniform";"9";0,451551451147486;2,08434497062
"LC";"b";"uniform";"10";0,99883790198173;5,8919369696
"LC";"c";"random";"1";0,0849919243804113;0,00990009218
"LC";"c";"random";"2";0,0456816695604617;0,28907434072
"LC";"c";"random";"3";0,0227756488946941;0,58335360776
"LC";"c";"random";"4";0,0241635010387613;0,85893183508
"LC";"c";"random";"5";0,0326250324948105;1,142411149
"LC";"c";"random";"6";0,0173863125702116;1,3468774352
"LC";"c";"random";"7";0,0327472372450303;1,67556047604
"LC";"c";"random";"8";0,0377935807397438;1,9059198444
"LC";"c";"random";"9";0,0203339326642301;2,08434497062
"LC";"c";"random";"10";0,0274388908193924;5,8919369696
"LC";"c";"stratified";"1";0,0882112344011237;0,00990009218
"LC";"c";"stratified";"2";0,0421500566283953;0,28907434072
"LC";"c";"stratified";"3";0,0218856416808957;0,58335360776
"LC";"c";"stratified";"4";0,0234157290133204;0,85893183508
"LC";"c";"stratified";"5";0,0304902433142791;1,142411149
"LC";"c";"stratified";"6";0,0163635767969906;1,3468774352
"LC";"c";"stratified";"7";0,0376016927258757;1,67556047604
"LC";"c";"stratified";"8";0,0402346181305047;1,9059198444
"LC";"c";"stratified";"9";0,0279515254792574;2,08434497062
"LC";"c";"stratified";"10";0,0294112797486051;5,8919369696
"LC";"c";"uniform";"1";0,0650794477703747;0,00990009218
"LC";"c";"uniform";"2";0,0591574984394338;0,28907434072
"LC";"c";"uniform";"3";0,0347921991530282;0,58335360776
"LC";"c";"uniform";"4";0,0436353074009631;0,85893183508
"LC";"c";"uniform";"5";0,0538711834269453;1,142411149
"LC";"c";"uniform";"6";0,0338654726586216;1,3468774352
"LC";"c";"uniform";"7";0,0732353368260053;1,67556047604
"LC";"c";"uniform";"8";0,0692912444808246;1,9059198444
"LC";"c";"uniform";"9";0,0595175270627065;2,08434497062
"LC";"c";"uniform";"10";0,0502513169280961;5,8919369696
"MT";"a";"random";"1";0,14185679613004;1,09606781942
"MT";"a";"random";"2";0,113072060661773;1,42397755784
"MT";"a";"random";"3";0,138351041503572;1,73702597528
"MT";"a";"random";"4";0,27077716836158;2,16357427988
"MT";"a";"random";"5";0,199055138824391;2,4224734525
"MT";"a";"random";"6";0,283066435471653;2,66997155588
"MT";"a";"random";"7";0,377517054365024;2,9047500902
"MT";"a";"random";"8";0,283125233217689;3,24357472536
"MT";"a";"random";"9";0,483881598908107;3,6660314022
"MT";"a";"random";"10";1,09073199318302;4,3325544528
"MT";"a";"stratified";"1";0,216778705472076;1,09606781942
"MT";"a";"stratified";"2";0,187341557494879;1,42397755784
"MT";"a";"stratified";"3";0,186555930441838;1,73702597528
"MT";"a";"stratified";"4";0,129206175954279;2,16357427988
"MT";"a";"stratified";"5";0,127721245495164;2,4224734525
"MT";"a";"stratified";"6";0,23277082621392;2,66997155588
"MT";"a";"stratified";"7";0,37143000406218;2,9047500902
"MT";"a";"stratified";"8";0,343583663684227;3,24357472536
"MT";"a";"stratified";"9";0,529896460754836;3,6660314022
"MT";"a";"stratified";"10";1,06039569138328;4,3325544528
"MT";"a";"uniform";"1";0,405992316838269;1,09606781942
"MT";"a";"uniform";"2";0,206800278842183;1,42397755784
"MT";"a";"uniform";"3";0,171253304611391;1,73702597528
"MT";"a";"uniform";"4";0,128066667091643;2,16357427988
"MT";"a";"uniform";"5";0,128445449107546;2,4224734525
"MT";"a";"uniform";"6";0,162433866392124;2,66997155588
"MT";"a";"uniform";"7";0,228890255024804;2,9047500902
"MT";"a";"uniform";"8";0,219591440005615;3,24357472536
"MT";"a";"uniform";"9";0,369053393907052;3,6660314022
"MT";"a";"uniform";"10";0,81833867365517;4,3325544528
"MT";"b";"random";"1";0,170732605436679;1,09606781942
"MT";"b";"random";"2";0,119034601960553;1,42397755784
"MT";"b";"random";"3";0,202489334401292;1,73702597528
"MT";"b";"random";"4";0,150607987947742;2,16357427988
"MT";"b";"random";"5";0,184877154645734;2,4224734525
"MT";"b";"random";"6";0,205396791222072;2,66997155588
"MT";"b";"random";"7";0,249137999478963;2,9047500902
"MT";"b";"random";"8";0,324639787957861;3,24357472536
"MT";"b";"random";"9";0,523317737424538;3,6660314022
"MT";"b";"random";"10";1,45082227729519;4,3325544528
"MT";"b";"stratified";"1";0,182416033920325;1,09606781942
"MT";"b";"stratified";"2";0,0594239121273864;1,42397755784
"MT";"b";"stratified";"3";0,0915798976953953;1,73702597528
"MT";"b";"stratified";"4";0,115883970195138;2,16357427988
"MT";"b";"stratified";"5";0,106985114394841;2,4224734525
"MT";"b";"stratified";"6";0,144762581158781;2,66997155588
"MT";"b";"stratified";"7";0,0863066726394782;2,9047500902
"MT";"b";"stratified";"8";0,0622665826040679;3,24357472536
"MT";"b";"stratified";"9";0,219651275679707;3,6660314022
"MT";"b";"stratified";"10";0,692651093094785;4,3325544528
"MT";"b";"uniform";"1";0,166885890725213;1,09606781942
"MT";"b";"uniform";"2";0,14306650279595;1,42397755784
"MT";"b";"uniform";"3";0,155520275501583;1,73702597528
"MT";"b";"uniform";"4";0,33750487862057;2,16357427988
"MT";"b";"uniform";"5";0,304688936623881;2,4224734525
"MT";"b";"uniform";"6";0,399222350733703;2,66997155588
"MT";"b";"uniform";"7";0,337947462586479;2,9047500902
"MT";"b";"uniform";"8";0,315476095442674;3,24357472536
"MT";"b";"uniform";"9";0,374930468872067;3,6660314022
"MT";"b";"uniform";"10";0,19515784604316;4,3325544528
"MT";"c";"random";"1";0,038139977295277;1,09606781942
"MT";"c";"random";"2";0,0127247389239454;1,42397755784
"MT";"c";"random";"3";0,0258172096372944;1,73702597528
"MT";"c";"random";"4";0,0125782806565274;2,16357427988
"MT";"c";"random";"5";0,00994543540467856;2,4224734525
"MT";"c";"random";"6";0,0119160996608126;2,66997155588
"MT";"c";"random";"7";0,01422368680407;2,9047500902
"MT";"c";"random";"8";0,00636086418619027;3,24357472536
"MT";"c";"random";"9";0,0106832407954702;3,6660314022
"MT";"c";"random";"10";0,00961475560501848;4,3325544528
"MT";"c";"stratified";"1";0,0367384310698522;1,09606781942
"MT";"c";"stratified";"2";0,0126383098040532;1,42397755784
"MT";"c";"stratified";"3";0,0225368635122382;1,73702597528
"MT";"c";"stratified";"4";0,0188061656757721;2,16357427988
"MT";"c";"stratified";"5";0,015701268682447;2,4224734525
"MT";"c";"stratified";"6";0,0239259105713283;2,66997155588
"MT";"c";"stratified";"7";0,0166584094005507;2,9047500902
"MT";"c";"stratified";"8";0,0117571464010166;3,24357472536
"MT";"c";"stratified";"9";0,0211491641514617;3,6660314022
"MT";"c";"stratified";"10";0,0136814793744934;4,3325544528
"MT";"c";"uniform";"1";0,0394299138762667;1,09606781942
"MT";"c";"uniform";"2";0,0337308022666924;1,42397755784
"MT";"c";"uniform";"3";0,0270214260086771;1,73702597528
"MT";"c";"uniform";"4";0,0481912025585026;2,16357427988
"MT";"c";"uniform";"5";0,0334216399927741;2,4224734525
"MT";"c";"uniform";"6";0,0466006681720889;2,66997155588
"MT";"c";"uniform";"7";0,024754590302546;2,9047500902
"MT";"c";"uniform";"8";0,0205353424272538;3,24357472536
"MT";"c";"uniform";"9";0,0356907963805762;3,6660314022
"MT";"c";"uniform";"10";0,0233622716539839;4,3325544528
