"area";"a";"b";"c";"a01";"b01";"decile"
"CN";1,7008;1,15068;0,14749;1,5037773925764;1,31288287155971;1,41307414238462
"CN";2,82041;2,00971;0,12385;2,49369049611736;2,28446166454636;2,34680905749351
"CN";1,88342;1,48748;0,27044;1,66524248396416;1,69380989096288;1,71088600776498
"CN";2,9073;0,12756;0,21003;2,57051505964098;0,155715258460626;0,599261115242824
"CN";1,92924;2,72331;0,17678;1,70575464302334;3,09155644199916;4,30959546894705
"CN";2,54499;0,32436;0,18403;2,25017546233127;0,378299692601196;0,599261115242824
"CN";1,57481;1,65344;0,22044;1,39238221754659;1,88151371560703;1,88416595391018
"CN";2,21526;0,67088;0,17268;1,95864176074718;0,770220211495455;0,772622494717582
"CN";0,74154;0,63222;0,01071;0,655639162565326;0,726495037593654;0,772622494717582
"CN";2,93991;1,73038;0,232;2,59934748013246;1,96853427639349;2,02631574779275
"CN";2,6178;0,81621;0,05772;2,3145510690772;0,934591125182695;0,968518286112141
"CN";1,0062;2,26887;0,12084;0,889640646995753;2,57757641023676;4,30959546894705
"CN";3,99324;0,94637;0,16656;3,53065853429668;1,08180448873827;1,25368536504082
"CN";1,46882;-0,23526;0,19946;1,2986702197578;-0,254640861432064;0,599261115242824
"CN";2,95498;1,28416;0,16449;2,61267175418357;1,46385121642294;1,71088600776498
"CN";2,46972;0,95056;0,13112;2,18362482478469;1,08654345611148;1,25368536504082
"CN";;;;;;
"LC";2,31503;0,45154;0,171;1,78565567481792;0,585606619834789;0,70018251157319
"LC";3,07686;0,1948;0,16639;2,3732791884426;0,252753645668531;0,347203302418396
"LC";1,81272;2,02318;0,12074;1,3982081246705;2,62317399663099;7,06767001975664
"LC";2,4824;1,238;0,1645;1,91475343609716;1,6052200422185;1,61600658403148
"LC";2,30083;0,76945;0,17272;1,77470276682864;0,99776401259476;1,03073038101067
"LC";1,11049;0,90747;0,12604;0,856555971338839;1,17670133242972;1,37075536831507
"LC";2,64138;1,65747;0,26148;2,03737972568414;2,14904584682051;2,28656129034242
"LC";2,60905;1,22414;0,19537;2,01244257671982;1,58725111559256;1,61600658403148
"LC";2,08839;0,68118;0,15812;1,61084109265668;0,883325545547725;1,03073038101067
"LC";1,58373;0,69608;0,08395;1,22158091337019;0,90264278990029;1,03073038101067
"LC";3,18825;1,2588;0,17432;2,45919780963453;1,63218639675094;2,01025209437702
"LC";2,15389;1,14557;0,10595;1,66136330908609;1,48538830426498;1,61600658403148
"LC";1,72932;1,85051;0,14869;1,33387907352221;2,39931436023118;2,50057691087854
"LC";1,52123;1,91811;0,18523;1,1733726915864;2,4869550124616;2,50057691087854
"LC";1,10742;1,64;0,25509;0,85418798348482;2,12639670193197;2,28656129034242
"LC";1,93001;1,02406;0,14189;1,48867760199882;1,32785552834015;1,37075536831507
"LC";1,74167;1,51202;0,24386;1,34340501814669;1,96047583399632;2,01025209437702
"LC";1,60955;0,26979;0,20531;1,24149669395351;0,349975132514086;0,70018251157319
"LC";1,57221;2,74643;0,22189;1,212695173931;3,56083822334185;7,06767001975664
"LC";2,90947;-0,40822;0,1293;2,24416600053239;-0,529037273088719;0,0123421127150837
"LC";2,41993;1,10401;0,14865;1,86656835425983;1,43150745357421;1,61600658403148
"LC";1,68626;0,30607;0,14643;1,30066553704205;0,39701067782355;0,70018251157319
"LC";1,35608;1,44454;0,23512;1,04598728634492;1,8729907568882;2,01025209437702
"LC";2,86286;1,44944;0,21361;2,20821423705491;1,87934340771556;2,01025209437702
"LC";3,21497;0,54565;0,16443;2,47980778861154;0,707616409500546;1,03073038101067
"LC";0,35878;5,45136;0,16296;0,276738332985393;7,06767001975664;7,06767001975664
"LC";1,06929;-0,44002;0,01379;0,824777111538967;-0,570264680498888;0,0123421127150837
"LC";2,78735;1,75256;0,1497;2,14997099182461;2,27232616665174;2,28656129034242
"LC";3,32308;1,49208;0,18606;2,56319644232426;1,93462443450705;2,01025209437702
"LC";1,61694;1,83853;0,26085;1,24719683409722;2,38378277718798;2,50057691087854
"LC";1,59796;-0,16732;0,19647;1,23255696130592;-0,216720215066395;0,0123421127150837
"LC";1,73723;-0,11868;0,05058;1,33998030607117;-0,153660432159771;0,0123421127150837
"LC";1,16098;1,0073;0,21912;0,895500501224653;1,30612686959189;1,37075536831507
"LC";1,62712;0,53489;0,10236;1,25504898926136;0,693666506867419;0,70018251157319
"LC";2,17398;1,80746;0,14684;1,67685935989627;2,34350178510515;2,50057691087854
"LC";1,40709;0,81183;0,17507;1,08533290863598;1,0527079599546;1,37075536831507
"LC";1,28796;0,07454;0,01332;0,993444181258338;0,0968414439343491;0,347203302418396
"LC";1,84353;0,86234;0,24868;1,42197284968103;1,11819212185044;1,37075536831507
"LC";2,14866;2,2551;0,25595;1,65732924508722;2,92384884966767;7,06767001975664
"LC";1,7744;0,02359;0,1871;1,36865069973042;0,0307868399234007;0,347203302418396
"LC";1,70534;0,36247;0,17758;1,31538254298821;0,470130985305738;0,70018251157319
