"area";"sample";"parameter";"rmse";"mad";"bias";"estimation.mean";"real.par";"correlation"
"CH";"random";"a";0,661603631879539;0,643548499666938;-0,643548499666938;2,50252932065182;3,14607782031876;0,940941977876263
"CH";"random";"a";1,00504795581876;0,969343990798649;-0,969343990798649;1,23675519894403;2,20609918974268;0,940941977876263
"CH";"random";"a";0,39068998429528;0,370018266414563;-0,370018266414563;1,55178744990633;1,9218057163209;0,940941977876263
"CH";"random";"a";0,600098768377738;0,581152745262158;-0,581152745262159;2,19147658427217;2,77262932953432;0,940941977876263
"CH";"random";"a";0,115488467012149;0,104097003232032;-0,102974740944655;1,08929665073908;1,19227139168373;0,940941977876263
"CH";"random";"a";0,136068146910666;0,129044055905216;-0,12800753817542;0,805186300307351;0,933193838482771;0,940941977876263
"CH";"random";"a";0,180992385833586;0,165331554501035;-0,161847740720608;1,71416508093374;1,87601282165435;0,940941977876263
"CH";"random";"a";0,209948958319381;0,194839579219512;-0,194839579219512;1,53152494753679;1,7263645267563;0,940941977876263
"CH";"random";"a";0,229643282901502;0,178026462145814;0,0902707546962209;3,53034732846525;3,44007657376903;0,940941977876263
"CH";"random";"a";0,541727201668506;0,518807669261438;-0,517458639274841;0,936926544591244;1,45438518386609;0,940941977876263
"CH";"random";"a";0,432911828512253;0,422179330764061;-0,422179330764061;1,11890338671435;1,54108271747841;0,940941977876263
"CH";"random";"a";0,360666158787628;0,328750813514247;-0,326120083120375;1,49797394234485;1,82409402546523;0,940941977876263
"CH";"random";"a";0,182446818469823;0,170375908484649;-0,168515221146257;1,02504723989906;1,19356246104532;0,940941977876263
"CH";"random";"a";0,24879370777022;0,239114096960764;-0,239114096960764;0,92165520230021;1,16076929926097;0,940941977876263
"CH";"random";"a";0,645277737967036;0,632727536000221;-0,632727536000221;1,10043068677602;1,73315822277624;0,940941977876263
"CH";"random";"a";0,308127195322134;0,290077960842358;-0,290077960842358;0,967263326665433;1,25734128750779;0,940941977876263
"CH";"random";"a";0,626561985743443;0,599437485802921;-0,599437485802921;1,35998732053667;1,9594248063396;0,940941977876263
"CH";"random";"a";1,64257560859856;1,62255846034627;-1,62255846034627;2,32707202669852;3,94963048704479;0,940941977876263
"CH";"random";"a";1,12379548979856;1,09267154393074;-1,09267154393074;1,61523514291816;2,7079066868489;0,940941977876263
"CH";"random";"a";0,602753566657271;0,584105126329666;-0,584105126329666;2,08444620480737;2,66855133113703;0,940941977876263
"CH";"random";"a";0,10121248983472;0,0878170071734049;-0,0861288302420442;1,05439293985857;1,14052177010061;0,940941977876263
"CH";"random";"a";0,574457034394903;0,54786412249905;-0,54786412249905;0,911916840905812;1,45978096340486;0,940941977876263
"CH";"random";"a";0,213943351603647;0,192247049324752;-0,187353593817374;1,63842327378124;1,82577686759861;0,940941977876263
"CH";"random";"a";0,339888665037296;0,317953275428108;-0,317953275428108;1,74753510494764;2,06548838037575;0,940941977876263
"CH";"random";"a";0,230475371060123;0,205639350111546;-0,202429474620136;1,51133599595239;1,71376547057252;0,940941977876263
"CH";"random";"a";0,203626278481396;0,191436515351888;-0,191436515351888;1,34211348019615;1,53354999554804;0,940941977876263
"CH";"random";"a";0,675586071991336;0,652596756621322;-0,650877934716434;1,26148961937492;1,91236755409135;0,940941977876263
"CH";"random";"a";1,1353787040601;1,10394025336247;-1,10394025336247;4,11912982054012;5,22307007390259;0,940941977876263
"CH";"random";"a";0,646676755553982;0,619388079199541;-0,619388079199541;1,72484662830647;2,34423470750601;0,940941977876263
"CH";"random";"a";0,496114621633004;0,476544369813547;-0,476544369813547;2,05184134828814;2,52838571810168;0,940941977876263
"CH";"random";"a";0,383189271084328;0,368224505822037;-0,368224505822037;1,10617670511199;1,47440121093402;0,940941977876263
"CH";"random";"a";0,563309169560834;0,539781346837115;-0,539781346837115;1,33909853919262;1,87887988602974;0,940941977876263
"CH";"random";"a";0,646266542399965;0,613418843665004;-0,612169228583852;2,93169151400363;3,54386074258748;0,940941977876263
"CH";"random";"a";0,0994923411478172;0,0841299044028509;-0,0798679672278644;1,41764783724191;1,49751580446977;0,940941977876263
"CH";"random";"a";0,280315036289436;0,261531969945447;-0,260536482004415;1,19725890576159;1,457795387766;0,940941977876263
"CH";"random";"a";0,3851062300025;0,364081088458551;-0,362987025614413;1,52014893734525;1,88313596295967;0,940941977876263
"CH";"random";"a";0,596586719586978;0,57844328029004;-0,57844328029004;1,86099221076151;2,43943549105155;0,940941977876263
"CH";"random";"a";0,548215295161973;0,530770292381095;-0,530770292381095;1,52457651556121;2,0553468079423;0,940941977876263
"CH";"random";"a";0,363756606282883;0,340341691885896;-0,34029327143002;1,62270200948887;1,96299528091889;0,940941977876263
"CH";"random";"a";0,52864111935264;0,509841759842717;-0,509841759842717;1,42929099770336;1,93913275754608;0,940941977876263
"CH";"random";"a";0,754157019363197;0,729933619723306;-0,729933619723306;2,43356918501358;3,16350280473689;0,940941977876263
"CH";"random";"a";0,791189456038291;0,765830108371677;-0,765830108371677;2,54422242479545;3,31005253316713;0,940941977876263
"CH";"random";"a";0,10264906492375;0,0926485565691937;-0,0916817052323381;0,822618000938083;0,914299706170421;0,940941977876263
"CH";"random";"a";0,365498262545676;0,344103716809385;-0,344103716809385;2,13551519513078;2,47961891194017;0,940941977876263
"CH";"random";"a";0,0814505753665114;0,0694402256081867;-0,0630328740865758;0,851525045956163;0,914557920042739;0,940941977876263
"CH";"random";"b";0,17120604069711;0,166578597426461;0,166578597426461;1,68739969442646;1,520821097;0,988628822122932
"CH";"random";"b";0,432045543496102;0,391320166868831;0,391320166868831;2,45992205786883;2,068601891;0,988628822122932
"CH";"random";"b";0,322811595089541;0,312130586797671;0,312130586797672;2,38238343479767;2,070252848;0,988628822122932
"CH";"random";"b";0,163559510003999;0,158355501657761;0,15835550165776;1,67607684265776;1,517721341;0,988628822122932
"CH";"random";"b";0,0846027885562737;0,0747165822963451;-0,0730419069483066;-0,335175752948307;-0,262133846;0,988628822122932
"CH";"random";"b";0,113513125833219;0,0996244494480876;-0,0970165599161644;0,537060932083836;0,634077492;0,988628822122932
"CH";"random";"b";0,0617337701523554;0,0527529295936995;0,0502912484380311;0,895241996438031;0,844950748;0,988628822122932
"CH";"random";"b";0,0632860829120505;0,0524229153817562;0,0485105968602153;0,925649390860215;0,877138794;0,988628822122932
"CH";"random";"b";0,0296418895681789;0,0239435343187866;0,0183629564375437;0,133512093437543;0,115149137;0,988628822122932
"CH";"random";"b";1,87915376454952;1,6229581811287;1,6187939324196;5,5845026504196;3,965708718;0,988628822122932
"CH";"random";"b";0,0902356985266595;0,077088697287501;-0,0586245044289548;1,08101645257105;1,139640957;0,988628822122932
"CH";"random";"b";0,40132000405867;0,379940280116431;0,37994028011643;2,73041780911643;2,350477529;0,988628822122932
"CH";"random";"b";0,0839348455559883;0,0678588939284035;0,0570275656183716;1,23505608061837;1,178028515;0,988628822122932
"CH";"random";"b";0,0723766097863077;0,0593709724963159;-0,0271391921982429;1,16833106580176;1,195470258;0,988628822122932
"CH";"random";"b";0,160206513421869;0,138788008742532;-0,126501035461686;1,09309341053831;1,219594446;0,988628822122932
"CH";"random";"b";0,203023604027647;0,176652085775983;0,173855376114617;1,99443186311462;1,820576487;0,988628822122932
"CH";"random";"b";0,27848251986781;0,25902671429075;0,259026714290749;2,15406473129075;1,895038017;0,988628822122932
"CH";"random";"b";0,299554892233816;0,29025204251027;0,29025204251027;2,19198373551027;1,901731693;0,988628822122932
"CH";"random";"b";0,362637536601053;0,342784156006052;0,342784156006052;2,30930748800605;1,966523332;0,988628822122932
"CH";"random";"b";0,114383390047858;0,105257911131916;0,105257911131916;1,44688840313191;1,341630492;0,988628822122932
"CH";"random";"b";0,0422911334588399;0,0368120862248657;-0,0211311092443197;-0,0492333772443198;-0,0281022680000001;0,988628822122932
"CH";"random";"b";1,71878336392499;1,5184108365738;1,5184108365738;5,1594201135738;3,641009277;0,988628822122932
"CH";"random";"b";0,0946412493982002;0,0858459202281758;0,0857799348147485;1,17871116281475;1,092931228;0,988628822122932
"CH";"random";"b";0,248183851047903;0,240853940293656;0,240853940293656;2,04090015929366;1,800046219;0,988628822122932
"CH";"random";"b";0,227491767739773;0,218497324721995;0,218497324721995;1,92011505972199;1,701617735;0,988628822122932
"CH";"random";"b";0,0865335865426927;0,077362242202275;-0,0756335327931232;0,192391976206877;0,268025509;0,988628822122932
"CH";"random";"b";0,695945609855845;0,649216029412699;0,649216029412699;3,2309061554127;2,581690126;0,988628822122932
"CH";"random";"b";0,0764009029759489;0,0737877423111848;0,0737877423111848;1,24410056031118;1,170312818;0,988628822122932
"CH";"random";"b";0,0987247134619737;0,0867292336483654;0,0867292336483654;1,46168210264837;1,374952869;0,988628822122932
"CH";"random";"b";0,0944368615932501;0,088098001785083;0,0876969860100936;1,31965676301009;1,231959777;0,988628822122932
"CH";"random";"b";0,336952089471429;0,316133159305745;0,316133159305745;2,43615056830574;2,120017409;0,988628822122932
"CH";"random";"b";0,233277696506332;0,215028504250459;0,214847164888406;2,00645890288841;1,791611738;0,988628822122932
"CH";"random";"b";0,0326910268476958;0,0270777762294183;0,0210810497024939;0,922344031702493;0,901262982;0,988628822122932
"CH";"random";"b";0,0311760355321704;0,0254187279619146;0,00173298283334475;0,167455312833345;0,16572233;0,988628822122932
"CH";"random";"b";0,144333306919283;0,130451975780323;0,129708842844541;1,62424939984454;1,494540557;0,988628822122932
"CH";"random";"b";0,329547766544967;0,318977078402193;0,318977078402193;2,40415592540219;2,085178847;0,988628822122932
"CH";"random";"b";0,0493626345416878;0,0399245064746687;0,0203069381128969;1,1514123351129;1,131105397;0,988628822122932
"CH";"random";"b";0,209909397302268;0,197377983261703;0,197377983261704;1,8884273472617;1,691049364;0,988628822122932
"CH";"random";"b";0,230130190577756;0,221121358830193;0,221121358830193;1,99206805683019;1,770946698;0,988628822122932
"CH";"random";"b";0,0841825993781625;0,0687161253579367;0,0620287384033305;1,44632579940333;1,384297061;0,988628822122932
"CH";"random";"b";0,128640300523094;0,124028582952513;0,124028582952513;1,52493629295251;1,40090771;0,988628822122932
"CH";"random";"b";0,135377373581371;0,12955690804316;0,12955690804316;1,55819395704316;1,428637049;0,988628822122932
"CH";"random";"b";0,071246606040667;0,0584290585904056;-0,0521856804260299;0,0848526755739694;0,137038355999999;0,988628822122932
"CH";"random";"b";0,0320614717333719;0,0252548773473956;-0,0147083909798879;0,626994950020112;0,641703341;0,988628822122932
"CH";"random";"b";0,0862585421585425;0,0731963091825239;0,0660308833239247;0,884813401323924;0,818782517999999;0,988628822122932
"CH";"random";"c";0,00629826259420651;0,00499341533253828;0,000670856218029092;0,137440856218029;0,13677;0,969927730745206
"CH";"random";"c";0,0368565226430132;0,0323906972825202;-0,0323906972825202;0,27693930271748;0,30933;0,969927730745206
"CH";"random";"c";0,00585284257758613;0,00452457191146532;-0,000246219507365919;0,133883780492634;0,13413;0,969927730745206
"CH";"random";"c";0,00786286570303208;0,00647203370872723;-0,00410000008493147;0,153559999915069;0,15766;0,969927730745206
"CH";"random";"c";0,0184871673866136;0,0177255214486899;-0,0177056590926776;0,183964340907322;0,20167;0,969927730745206
"CH";"random";"c";0,0383058089004991;0,0376410355845574;-0,0376410355845574;0,181818964415443;0,21946;0,969927730745206
"CH";"random";"c";0,00879262217346058;0,00728384876386412;0,00195030297411011;0,14971030297411;0,14776;0,969927730745206
"CH";"random";"c";0,0114407914827376;0,00947761765227984;-0,00627370851046713;0,162596291489533;0,16887;0,969927730745206
"CH";"random";"c";0,0177050540879571;0,0158331256570217;0,0153499563291296;0,14667995632913;0,13133;0,969927730745206
"CH";"random";"c";0,00496851061856527;0,00411736769910823;0,00177814315252334;0,124538143152523;0,12276;0,969927730745206
"CH";"random";"c";0,060487212461535;0,0578467239241059;-0,0578467239241059;0,212153276075894;0,27;0,969927730745206
"CH";"random";"c";0,00706151831371431;0,00550178027705072;0,00434750025289322;0,123597500252893;0,11925;0,969927730745206
"CH";"random";"c";0,0213627462774745;0,018577172064204;-0,0177645412136969;0,178985458786303;0,19675;0,969927730745206
"CH";"random";"c";0,0467042732483247;0,0450037978777189;-0,0450037978777189;0,186946202122281;0,23195;0,969927730745206
"CH";"random";"c";0,088233484953466;0,0843352122609025;-0,0843352122609025;0,245024787739097;0,32936;0,969927730745206
"CH";"random";"c";0,0276567518915621;0,0253850272871208;-0,0251198253556065;0,186080174644393;0,2112;0,969927730745206
"CH";"random";"c";0,0250226297279279;0,0213069684153143;-0,0206992737568461;0,220510726243154;0,24121;0,969927730745206
"CH";"random";"c";0,0148440179852624;0,0131893264070892;-0,0131029635944097;0,25734703640559;0,27045;0,969927730745206
"CH";"random";"c";0,0234136247065698;0,0207026701206415;-0,0205741415580976;0,276595858441902;0,29717;0,969927730745206
"CH";"random";"c";0,0136153331447347;0,0116342721077745;-0,0108852025874364;0,176624797412564;0,18751;0,969927730745206
"CH";"random";"c";0,00890709256903147;0,00772763751769413;-0,00629242039738387;0,180947579602616;0,18724;0,969927730745206
"CH";"random";"c";0,00532091325677547;0,0042253590454579;-0,00167169623447308;0,140538303765527;0,14221;0,969927730745206
"CH";"random";"c";0,00979455160069471;0,00737216227409665;0,00255013025482428;0,145990130254824;0,14344;0,969927730745206
"CH";"random";"c";0,00822338604922069;0,00680404172072794;0,00539991237611015;0,12431991237611;0,11892;0,969927730745206
"CH";"random";"c";0,00916903087346842;0,00766469451458261;0,00689345083121552;0,127633450831216;0,12074;0,969927730745206
"CH";"random";"c";0,0377507124360113;0,0361057476455719;-0,0361057476455719;0,184854252354428;0,22096;0,969927730745206
"CH";"random";"c";0,00959136835252946;0,00782269431331267;-0,00664055626283289;0,164739443737167;0,17138;0,969927730745206
"CH";"random";"c";0,00600324094187119;0,00487899778569257;0,00236433679212245;0,117634336792122;0,11527;0,969927730745206
"CH";"random";"c";0,029469246882556;0,0263739046654536;-0,0260155009237095;0,25504449907629;0,28106;0,969927730745206
"CH";"random";"c";0,0129163912343347;0,0111057640795474;-0,0103514269399377;0,166588573060062;0,17694;0,969927730745206
"CH";"random";"c";0,0179264866332887;0,0156494651975271;-0,0152354840058845;0,181014515994115;0,19625;0,969927730745206
"CH";"random";"c";0,0252216010959973;0,0219957382778803;-0,0217711944739759;0,208958805526024;0,23073;0,969927730745206
"CH";"random";"c";0,0140902999914082;0,0119939113336877;-0,0107324642796801;0,17921753572032;0,18995;0,969927730745206
"CH";"random";"c";0,00804314326599221;0,00666699841938248;-0,000526648060534651;0,175683351939465;0,17621;0,969927730745206
"CH";"random";"c";0,0178086862516948;0,0156443231345951;-0,0142974911785743;0,174252508821426;0,18855;0,969927730745206
"CH";"random";"c";0,00660355678750526;0,0051902227518349;0,00166427709831499;0,130354277098315;0,12869;0,969927730745206
"CH";"random";"c";0,0310323139072647;0,0280430802469625;-0,0280063328658096;0,23627366713419;0,26428;0,969927730745206
"CH";"random";"c";0,01984814394207;0,0172469775232487;-0,0165757821600564;0,203824217839944;0,2204;0,969927730745206
"CH";"random";"c";0,00698346955251078;0,00555034857794565;-0,000587131084069298;0,139452868915931;0,14004;0,969927730745206
"CH";"random";"c";0,0351455661864037;0,0320976588912053;-0,0320976588912053;0,232932341108795;0,26503;0,969927730745206
"CH";"random";"c";0,0114228149240166;0,00916039225984608;-0,00806200692816778;0,175977993071832;0,18404;0,969927730745206
